0.0000000000e+00 1.4108678389e-03 1.3037861812e-03 1.5179494965e-03
1.0000000000e-01 1.4387889808e-03 1.3302283364e-03 1.5473496252e-03
1.4142135624e-01 1.4680967505e-03 1.3577300307e-03 1.5784634703e-03
1.7320508076e-01 1.4990234188e-03 1.3865166408e-03 1.6115301968e-03
2.0000000000e-01 1.5319010605e-03 1.4169137142e-03 1.6468884068e-03
2.2360679775e-01 1.5672493570e-03 1.4494335323e-03 1.6850651816e-03
2.4494897428e-01 1.6060144645e-03 1.4850110603e-03 1.7270178686e-03
2.6457513111e-01 1.6505582459e-03 1.5259825722e-03 1.7751339197e-03
2.8284271247e-01 1.8432006393e-03 1.7120733447e-03 1.9743279338e-03
3.0000000000e-01 1.8161517125e-03 1.6836875319e-03 1.9486158932e-03
3.1622776602e-01 1.8678772340e-03 1.7303412657e-03 2.0054132022e-03
3.3166247904e-01 1.9082449406e-03 1.7656228693e-03 2.0508670119e-03
3.4641016151e-01 1.9480192696e-03 1.8000095198e-03 2.0960290195e-03
3.6055512755e-01 1.9878754866e-03 1.8341693207e-03 2.1415816524e-03
3.7416573868e-01 2.0266527462e-03 1.8669877055e-03 2.1863177870e-03
3.8729833462e-01 2.0653323463e-03 1.8994294889e-03 2.2312352037e-03
4.0000000000e-01 2.1057681364e-03 1.9333158093e-03 2.2782204635e-03
4.1231056256e-01 2.1460529764e-03 1.9667936634e-03 2.3253122894e-03
4.2426406871e-01 2.1839446374e-03 1.9976888645e-03 2.3702004103e-03
4.3588989435e-01 2.2203155278e-03 2.0268556788e-03 2.4137753768e-03
4.4721359550e-01 2.2558355433e-03 2.0549396933e-03 2.4567313934e-03
4.5825756950e-01 2.2907276236e-03 2.0821573321e-03 2.4992979150e-03
4.6904157598e-01 2.3249167985e-03 2.1084524630e-03 2.5413811341e-03
4.7958315233e-01 2.3586652332e-03 2.1341101767e-03 2.5832202896e-03
4.8989794856e-01 2.3919383988e-03 2.1590848346e-03 2.6247919631e-03
5.0000000000e-01 2.4247116734e-03 2.1833432877e-03 2.6660800592e-03
5.0990195136e-01 2.4568325742e-03 2.2067176640e-03 2.7069474845e-03
5.1961524227e-01 2.4886807699e-03 2.2295938706e-03 2.7477676693e-03
5.2915026221e-01 2.5206486719e-03 2.2523632193e-03 2.7889341245e-03
5.3851648071e-01 2.5533182862e-03 2.2756075382e-03 2.8310290343e-03
5.4772255751e-01 2.5860118206e-03 2.2986493141e-03 2.8733743270e-03
5.5677643628e-01 2.6183550233e-03 2.3211166237e-03 2.9155934230e-03
5.6568542495e-01 2.6496857857e-03 2.3423545862e-03 2.9570169852e-03
5.7445626465e-01 2.6809218032e-03 2.3632529899e-03 2.9985906165e-03
5.8309518948e-01 2.7124346370e-03 2.3841659611e-03 3.0407033129e-03
5.9160797831e-01 2.7450702491e-03 2.4059074097e-03 3.0842330885e-03
6.0000000000e-01 2.7782450197e-03 2.4279012392e-03 3.1285888001e-03
6.0827625303e-01 2.8119146667e-03 2.4500957528e-03 3.1737335806e-03
6.1644140030e-01 2.8457387714e-03 2.4721567634e-03 3.2193207794e-03
6.2449979984e-01 2.8801104237e-03 2.4944503409e-03 3.2657705064e-03
6.3245553203e-01 2.9152298219e-03 2.5171570709e-03 3.3133025729e-03
6.4031242374e-01 2.9514338888e-03 2.5405901227e-03 3.3622776549e-03
6.4807406984e-01 2.9887133963e-03 2.5647243074e-03 3.4127024852e-03
6.5574385243e-01 3.0270547446e-03 2.5895300160e-03 3.4645794732e-03
6.6332495807e-01 3.0664633398e-03 2.6149970913e-03 3.5179295882e-03
6.7082039325e-01 3.1070254551e-03 2.6411917919e-03 3.5728591183e-03
6.7823299831e-01 3.1488743012e-03 2.6682236837e-03 3.6295249187e-03
