0.0000000000e+00 1.4097595342e-03 1.3161244184e-03 1.5033946500e-03
1.0000000000e-01 1.4294625037e-03 1.3361999984e-03 1.5227250091e-03
1.4142135624e-01 1.4502864395e-03 1.3572096423e-03 1.5433632367e-03
1.7320508076e-01 1.4724314316e-03 1.3793409152e-03 1.5655219481e-03
2.0000000000e-01 1.4961854248e-03 1.4028693789e-03 1.5895014707e-03
2.2360679775e-01 1.5220021721e-03 1.4282364691e-03 1.6157678752e-03
2.4494897428e-01 1.5507139469e-03 1.4562617117e-03 1.6451661821e-03
2.6457513111e-01 1.5844154286e-03 1.4890241781e-03 1.6798066791e-03
2.8284271247e-01 1.7602020998e-03 1.6513887839e-03 1.8690154157e-03
3.0000000000e-01 1.7241498951e-03 1.6223237038e-03 1.8259760865e-03
3.1622776602e-01 1.7639289936e-03 1.6593150303e-03 1.8685429569e-03
3.3166247904e-01 1.7925961690e-03 1.6860364918e-03 1.8991558461e-03
3.4641016151e-01 1.8205699331e-03 1.7117901527e-03 1.9293497136e-03
3.6055512755e-01 1.8484595776e-03 1.7371758000e-03 1.9597433552e-03
3.7416573868e-01 1.8752367998e-03 1.7611846540e-03 1.9892889456e-03
3.8729833462e-01 1.9017773406e-03 1.7846819441e-03 2.0188727371e-03
4.0000000000e-01 1.9296983759e-03 1.8092723648e-03 2.0501243869e-03
4.1231056256e-01 1.9573233216e-03 1.8333034021e-03 2.0813432412e-03
4.2426406871e-01 1.9827077806e-03 1.8548610105e-03 2.1105545507e-03
4.3588989435e-01 2.0066306461e-03 1.8747169362e-03 2.1385443559e-03
4.4721359550e-01 2.0296895069e-03 1.8934573287e-03 2.1659216850e-03
4.5825756950e-01 2.0520838067e-03 1.9112805773e-03 2.1928870360e-03
4.6904157598e-01 2.0737447481e-03 1.9281332582e-03 2.2193562379e-03
4.7958315233e-01 2.0948868047e-03 1.9442515141e-03 2.2455220954e-03
4.8989794856e-01 2.1154907820e-03 1.9596107561e-03 2.2713708079e-03
5.0000000000e-01 2.1355426196e-03 1.9741936550e-03 2.2968915843e-03
5.0990195136e-01 2.1549223337e-03 1.9878708251e-03 2.3219738423e-03
5.1961524227e-01 2.1739448504e-03 2.0009685464e-03 2.3469211544e-03
5.2915026221e-01 2.1929365109e-03 2.0138193168e-03 2.3720537050e-03
5.3851648071e-01 2.2123790241e-03 2.0269134655e-03 2.3978445826e-03
5.4772255751e-01 2.2317035086e-03 2.0396789441e-03 2.4237280732e-03
5.5677643628e-01 2.2505957395e-03 2.0518025147e-03 2.4493889642e-03
5.6568542495e-01 2.2685032320e-03 2.0627332785e-03 2.4742731856e-03
5.7445626465e-01 2.2861929080e-03 2.0732293500e-03 2.4991564659e-03
5.8309518948e-01 2.3039714941e-03 2.0835908267e-03 2.5243521615e-03
5.9160797831e-01 2.3225376355e-03 2.0945034238e-03 2.5505718472e-03
6.0000000000e-01 2.3413980692e-03 2.1054759113e-03 2.5773202270e-03
6.0827625303e-01 2.3605095209e-03 2.1164611931e-03 2.6045578486e-03
6.1644140030e-01 2.3795831542e-03 2.1271736209e-03 2.6319926875e-03
6.2449979984e-01 2.3989388603e-03 2.1379189787e-03 2.6599587420e-03
6.3245553203e-01 2.4187344636e-03 2.1488443326e-03 2.6886245947e-03
6.4031242374e-01 2.4392389320e-03 2.1602058833e-03 2.7182719807e-03
6.4807406984e-01 2.4604343861e-03 2.1719753978e-03 2.7488933744e-03
6.5574385243e-01 2.4822988957e-03 2.1841204539e-03 2.7804773375e-03
6.6332495807e-01 2.5048257248e-03 2.1966243106e-03 2.8130271390e-03
6.7082039325e-01 2.5280739932e-03 2.2095334539e-03 2.8466145325e-03
6.7823299831e-01 2.5521403355e-03 2.2229294626e-03 2.8813512084e-03
6.8556546004e-01 2.5770497303e-03 2.2368297880e-03 2.9172696727e-03
6.9282032303e-01 2.6028958156e-03 2.2513091380e-03 2.9544824931e-03
7.0000000000e-01 2.6298694824e-03 2.2665218389e-03 2.9932171258e-03
7.0710678119e-01 2.6580630340e-03 2.2825242974e-03 3.0336017706e-03
7.1414284285e-01 2.6876264139e-03 2.2994371266e-03 3.0758157012e-03
7.2111025509e-01 2.7188361732e-03 2.3175233955e-03 3.1201489509e-03
7.2801098893e-01 2.7522573687e-03 2.3373187647e-03 3.1671959726e-03
7.3484692283e-01 2.7878537412e-03 2.3587707261e-03 3.2169367563e-03
7.4161984871e-01 2.8250281714e-03 2.3812786993e-03 3.2687776436e-03
7.4833147735e-01 2.8629095290e-03 2.4040083698e-03 3.3218106882e-03
7.5498344353e-01 2.9021264460e-03 2.4275064286e-03 3.3767464634e-03
7.6157731059e-01 2.9433579845e-03 2.4523569462e-03 3.4343590228e-03
7.6811457479e-01 2.9871299166e-03 2.4789918789e-03 3.4952679544e-03
7.7459666924e-01 3.0334297317e-03 2.5073785099e-03 3.5594809534e-03
7.8102496759e-01 3.0823947099e-03 2.5376151805e-03 3.6271742393e-03
7.8740078740e-01 3.1343398455e-03 2.5699510233e-03 3.6987286678e-03
7.9372539332e-01 3.1897438999e-03 2.6047916168e-03 3.7746961831e-03
8.0000000000e-01 3.2485781979e-03 2.6420419730e-03 3.8551144227e-03
8.0622577483e-01 3.3101453035e-03 2.6809887195e-03 3.9393018875e-03
8.1240384046e-01 3.3757189436e-03 2.7226846511e-03 4.0287532360e-03
8.1853527719e-01 3.4469777418e-03 2.7685173627e-03 4.1254381210e-03
8.2462112512e-01 3.5246013662e-03 2.8191308661e-03 4.2300718663e-03
8.3066238629e-01 3.6096013486e-03 2.8757856486e-03 4.3434170486e-03
8.3666002653e-01 3.7252907294e-03 2.9536805836e-03 4.4969008752e-03
8.4261497732e-01 3.8092371465e-03 3.0114086237e-03 4.6070656693e-03
8.4852813742e-01 3.9221730796e-03 3.0889556913e-03 4.7553904678e-03
8.5440037453e-01 4.0274146432e-03 3.1615697839e-03 4.8932595026e-03
8.6023252670e-01 4.1513045559e-03 3.2454808079e-03 5.0571283039e-03
8.6602540378e-01 4.2668915261e-03 3.3246207523e-03 5.2091622999e-03
8.7177978871e-01 4.3983900506e-03 3.4128940641e-03 5.3838860371e-03
8.7749643874e-01 4.5237650541e-03 3.4964408961e-03 5.5510892121e-03
8.8317608663e-01 4.6575562990e-03 3.5846146340e-03 5.7304979641e-03
8.8881944173e-01 4.8079649952e-03 3.6831848279e-03 5.9327451625e-03
8.9442719100e-01 4.9628831916e-03 3.7864646965e-03 6.1393016868e-03
9.0000000000e-01 5.1366721148e-03 3.9020708120e-03 6.3712734176e-03
9.0553851381e-01 5.3151204750e-03 4.0192268141e-03 6.6110141359e-03
9.1104335791e-01 5.4841360258e-03 4.1278469665e-03 6.8404250851e-03
9.1651513899e-01 5.6884528211e-03 4.2587875603e-03 7.1181180819e-03
9.2195444573e-01 5.9114279273e-03 4.4022882107e-03 7.4205676438e-03
9.2736184955e-01 6.1382413028e-03 4.5493957155e-03 7.7270868901e-03
9.3273790531e-01 6.3878423350e-03 4.7057714656e-03 8.0699132043e-03
9.3808315196e-01 6.6643197933e-03 4.8791608319e-03 8.4494787546e-03
9.4339811321e-01 6.9719440162e-03 5.0749594996e-03 8.8689285328e-03
9.4868329805e-01 7.3047449654e-03 5.2822857004e-03 9.3272042303e-03
9.5393920142e-01 7.6423266380e-03 5.4870418049e-03 9.7976114711e-03
9.5916630466e-01 8.0420876559e-03 5.7273092352e-03 1.0356866077e-02
9.6436507610e-01 8.5321624328e-03 6.0230177652e-03 1.1041307100e-02
9.6953597148e-01 8.9676488192e-03 6.2802281480e-03 1.1655069490e-02
9.7467943448e-01 9.5771018281e-03 6.6119641253e-03 1.2542239531e-02
9.7979589711e-01 1.0338126263e-02 7.0553149063e-03 1.3620937620e-02
9.8488578018e-01 1.1775995101e-02 7.8225392846e-03 1.5729450917e-02
9.8994949366e-01 1.0289394508e-02 6.9646910707e-03 1.3614097944e-02
9.9498743711e-01 4.6488023519e-03 3.1702822984e-03 6.1273224054e-03
1.0000000000e+00 6.3672154005e-03 4.0421593547e-03 8.6922714463e-03
1.0049875621e+00 5.2130190437e-03 3.4409330855e-03 6.9851050019e-03
1.0099504938e+00 4.4077176070e-03 2.9101976927e-03 5.9052375214e-03
1.0148891565e+00 3.9807484478e-03 2.6413061623e-03 5.3201907333e-03
1.0198039027e+00 3.6324740499e-03 2.4190042663e-03 4.8459438336e-03
1.0246950766e+00 3.3490326698e-03 2.2352443438e-03 4.4628209958e-03
1.0295630141e+00 3.1161679221e-03 2.0812011227e-03 4.1511347214e-03
1.0344080433e+00 2.9197840101e-03 1.9490467942e-03 3.8905212259e-03
1.0392304845e+00 2.7544026061e-03 1.8362339266e-03 3.6725712856e-03
1.0440306509e+00 2.6088907069e-03 1.7379702755e-03 3.4798111383e-03
1.0488088482e+00 2.4821306195e-03 1.6523173176e-03 3.3119439214e-03
1.0535653753e+00 2.3721288570e-03 1.5770912067e-03 3.1671665072e-03
1.0583005244e+00 2.2752937515e-03 1.5095449671e-03 3.0410425359e-03
1.0630145813e+00 2.1898414865e-03 1.4486455136e-03 2.9310374593e-03
1.0677078252e+00 2.1147169347e-03 1.3942513311e-03 2.8351825383e-03
1.0723805295e+00 2.0478270276e-03 1.3454664259e-03 2.7501876294e-03
1.0770329614e+00 1.9892721622e-03 1.3023912268e-03 2.6761530976e-03
1.0816653826e+00 1.9388305830e-03 1.2646769794e-03 2.6129841867e-03
1.0862780491e+00 1.8962899042e-03 1.2321403745e-03 2.5604394338e-03
1.0908712115e+00 1.8608587989e-03 1.2044330432e-03 2.5172845546e-03
1.0954451150e+00 1.8308943081e-03 1.1808439847e-03 2.4809446315e-03
1.1000000000e+00 1.8049953647e-03 1.1606017033e-03 2.4493890262e-03
1.1045361017e+00 1.7814210549e-03 1.1427855773e-03 2.4200565326e-03
1.1090536506e+00 1.7590003152e-03 1.1265278521e-03 2.3914727784e-03
1.1135528726e+00 1.7374981066e-03 1.1110787526e-03 2.3639174607e-03
1.1180339887e+00 1.7168504847e-03 1.0962572487e-03 2.3374437207e-03
