0.0000000000e+00 1.0233293035e-04 9.7820432659e-05 1.0684542804e-04
1.0000000000e-01 1.2130524259e-04 1.1666899405e-04 1.2594149113e-04
1.4142135624e-01 1.4154332809e-04 1.3671743424e-04 1.4636922194e-04
1.7320508076e-01 1.6327963518e-04 1.5819001422e-04 1.6836925613e-04
2.0000000000e-01 1.8684420399e-04 1.8140736596e-04 1.9228104203e-04
2.2360679775e-01 2.1274717294e-04 2.0686695167e-04 2.1862739420e-04
2.4494897428e-01 2.4189859988e-04 2.3545760496e-04 2.4833959481e-04
2.6457513111e-01 2.7649511914e-04 2.6932604667e-04 2.8366419161e-04
2.8284271247e-01 3.1758552914e-04 3.1026036965e-04 3.2491068863e-04
3.0000000000e-01 3.5347392167e-04 3.4520130756e-04 3.6174653579e-04
3.1622776602e-01 3.8745119258e-04 3.7831111039e-04 3.9659127476e-04
3.3166247904e-01 4.2240791228e-04 4.1227337299e-04 4.3254245157e-04
3.4641016151e-01 4.5764417782e-04 4.4645909187e-04 4.6882926378e-04
3.6055512755e-01 4.9324327542e-04 4.8094952162e-04 5.0553702921e-04
3.7416573868e-01 5.2898743734e-04 5.1553193806e-04 5.4244293663e-04
3.8729833462e-01 5.6477501186e-04 5.5010657938e-04 5.7944344434e-04
4.0000000000e-01 6.0048435916e-04 5.8455388762e-04 6.1641483069e-04
4.1231056256e-01 6.3601193037e-04 6.1877223941e-04 6.5325162134e-04
4.2426406871e-01 6.7119390873e-04 6.5260131291e-04 6.8978650454e-04
4.3588989435e-01 7.0598331050e-04 6.8599428454e-04 7.2597233645e-04
4.4721359550e-01 7.4028883024e-04 7.1886136776e-04 7.6171629272e-04
4.5825756950e-01 7.7404084460e-04 7.5113377850e-04 7.9694791070e-04
4.6904157598e-01 8.0721473152e-04 7.8278645992e-04 8.3164300313e-04
4.7958315233e-01 8.3971162324e-04 8.1372294585e-04 8.6570030064e-04
4.8989794856e-01 8.7154886632e-04 8.4395847416e-04 8.9913925848e-04
5.0000000000e-01 9.0271803557e-04 8.7348381732e-04 9.3195225382e-04
5.0990195136e-01 9.3318847726e-04 9.0226888207e-04 9.6410807244e-04
5.1961524227e-01 9.6298757406e-04 9.3033814635e-04 9.9563700178e-04
5.2915026221e-01 9.9212547392e-04 9.5770049770e-04 1.0265504501e-03
5.3851648071e-01 1.0206104231e-03 9.8436345044e-04 1.0568573958e-03
5.4772255751e-01 1.0484740285e-03 1.0103551169e-03 1.0865929401e-03
5.5677643628e-01 1.0757523468e-03 1.0357092175e-03 1.1157954762e-03
