70.0d0  0.014d0
70.1d0  0.0138d0
70.2d0  0.0135d0
70.3d0  0.0132d0
70.4d0  0.0129d0
70.5d0  0.0127d0
70.6d0  0.0124d0
70.7d0  0.0122d0
70.8d0  0.012d0
70.9d0  0.0118d0
71.0d0  0.0115d0
71.1d0  0.0113d0
71.2d0  0.0111d0
71.3d0  0.0108d0
71.4d0  0.0105d0
71.5d0  0.0101d0
71.6d0  0.0098d0
71.7d0  0.0095d0
71.8d0  0.0092d0
71.9d0  0.0088d0
72.0d0  0.0085d0
72.1d0  0.0083d0
72.2d0  0.0081d0
72.3d0  0.0079d0
72.4d0  0.0077d0
72.5d0  0.0076d0
72.6d0  0.0075d0
72.7d0  0.0075d0
72.8d0  0.0075d0
72.9d0  0.0076d0
73.0d0  0.0077d0
73.1d0  0.0078d0
73.2d0  0.008d0
73.3d0  0.0082d0
73.4d0  0.0085d0
73.5d0  0.0088d0
73.6d0  0.009d0
73.7d0  0.0094d0
73.8d0  0.0097d0
73.9d0  0.0101d0
74.0d0  0.0105d0
74.1d0  0.0109d0
74.2d0  0.0113d0
74.3d0  0.0116d0
74.4d0  0.0119d0
74.5d0  0.0121d0
74.6d0  0.0124d0
74.7d0  0.0125d0
74.8d0  0.0125d0
74.9d0  0.0126d0
75.0d0  0.0126d0
75.1d0  0.0125d0
75.2d0  0.0124d0
75.3d0  0.0122d0
75.4d0  0.0121d0
75.5d0  0.012d0
75.6d0  0.0118d0
75.7d0  0.0117d0
75.8d0  0.0116d0
75.9d0  0.0116d0
76.0d0  0.0115d0
76.1d0  0.0115d0
76.2d0  0.0115d0
76.3d0  0.0115d0
76.4d0  0.0116d0
76.5d0  0.0116d0
76.6d0  0.0117d0
76.7d0  0.0118d0
76.8d0  0.012d0
76.9d0  0.0122d0
77.0d0  0.0124d0
77.1d0  0.0126d0
77.2d0  0.0129d0
77.3d0  0.0132d0
77.4d0  0.0136d0
77.5d0  0.0139d0
77.6d0  0.0143d0
77.7d0  0.0146d0
77.8d0  0.0149d0
77.9d0  0.0151d0
78.0d0  0.0153d0
78.1d0  0.0154d0
78.2d0  0.0153d0
78.3d0  0.0153d0
78.4d0  0.0151d0
78.5d0  0.0148d0
78.6d0  0.0145d0
78.7d0  0.0141d0
78.8d0  0.0136d0
78.9d0  0.0131d0
79.0d0  0.0125d0
79.1d0  0.012d0
79.2d0  0.0115d0
79.3d0  0.011d0
79.4d0  0.0105d0
79.5d0  0.0101d0
79.6d0  0.0097d0
79.7d0  0.0094d0
79.8d0  0.0091d0
79.9d0  0.0089d0
80.0d0  0.0087d0
80.1d0  0.0085d0
80.2d0  0.0084d0
80.3d0  0.0083d0
80.4d0  0.0081d0
80.5d0  0.0081d0
80.6d0  0.008d0
80.7d0  0.0079d0
80.8d0  0.0079d0
80.9d0  0.0079d0
81.0d0  0.0078d0
81.1d0  0.0079d0
81.2d0  0.0079d0
81.3d0  0.0079d0
81.4d0  0.008d0
81.5d0  0.008d0
81.6d0  0.0081d0
81.7d0  0.0082d0
81.8d0  0.0083d0
81.9d0  0.0083d0
82.0d0  0.0084d0
82.1d0  0.0085d0
82.2d0  0.0086d0
82.3d0  0.0087d0
82.4d0  0.0088d0
82.5d0  0.0089d0
82.6d0  0.0088d0
82.7d0  0.0089d0
82.8d0  0.0089d0
82.9d0  0.0089d0
83.0d0  0.0088d0
83.1d0  0.0088d0
83.2d0  0.0087d0
83.3d0  0.0086d0
83.4d0  0.0084d0
83.5d0  0.0083d0
83.6d0  0.0082d0
83.7d0  0.0081d0
83.8d0  0.0079d0
83.9d0  0.0078d0
84.0d0  0.0077d0
84.1d0  0.0076d0
84.2d0  0.0076d0
84.3d0  0.0075d0
84.4d0  0.0075d0
84.5d0  0.0075d0
84.6d0  0.0076d0
84.7d0  0.0077d0
84.8d0  0.0077d0
84.9d0  0.0078d0
85.0d0  0.0079d0
85.1d0  0.008d0
85.2d0  0.0081d0
85.3d0  0.0082d0
85.4d0  0.0082d0
85.5d0  0.0082d0
85.6d0  0.0082d0
85.7d0  0.0081d0
85.8d0  0.008d0
85.9d0  0.0078d0
86.0d0  0.0076d0
86.1d0  0.0074d0
86.2d0  0.0071d0
86.3d0  0.0069d0
86.4d0  0.0066d0
86.7d0  0.0064d0
86.8d0  0.0062d0
86.9d0  0.006d0
87.0d0  0.0058d0
87.1d0  0.0057d0
87.2d0  0.0056d0
87.3d0  0.0055d0
87.4d0  0.0055d0
87.5d0  0.0055d0
87.6d0  0.0055d0
87.7d0  0.0056d0
87.8d0  0.0057d0
87.9d0  0.0058d0
88.0d0  0.006d0
88.1d0  0.0062d0
88.2d0  0.0064d0
88.3d0  0.0066d0
88.4d0  0.0069d0
88.5d0  0.0072d0
88.6d0  0.0076d0
88.7d0  0.0079d0
88.8d0  0.0082d0
88.9d0  0.0086d0
89.0d0  0.009d0
89.1d0  0.0094d0
89.2d0  0.0098d0
89.3d0  0.0101d0
89.4d0  0.0105d0
89.5d0  0.0108d0
89.6d0  0.0111d0
89.7d0  0.0113d0
89.8d0  0.0115d0
89.9d0  0.0117d0
90.0d0  0.0118d0
90.1d0  0.0118d0
90.2d0  0.0118d0
90.3d0  0.0117d0
90.4d0  0.0115d0
90.5d0  0.0112d0
90.6d0  0.0109d0
90.7d0  0.0106d0
90.8d0  0.0103d0
90.9d0  0.0099d0
91.0d0  0.0096d0
91.1d0  0.0093d0
91.2d0  0.009d0
91.3d0  0.0087d0
91.4d0  0.0084d0
91.5d0  0.0081d0
91.6d0  0.0079d0
91.7d0  0.0077d0
91.8d0  0.0075d0
91.9d0  0.0073d0
92.0d0  0.0072d0
92.1d0  0.0071d0
92.2d0  0.007d0
92.3d0  0.0069d0
92.4d0  0.0069d0
92.5d0  0.0068d0
92.6d0  0.0068d0
92.7d0  0.0068d0
92.8d0  0.0068d0
92.9d0  0.0068d0
93.0d0  0.0068d0
93.1d0  0.0069d0
93.2d0  0.007d0
93.3d0  0.007d0
93.4d0  0.0071d0
93.5d0  0.0072d0
93.6d0  0.0073d0
93.7d0  0.0075d0
93.8d0  0.0077d0
93.9d0  0.0079d0
94.0d0  0.0082d0
94.1d0  0.0086d0
94.2d0  0.009d0
94.3d0  0.0094d0
94.4d0  0.0099d0
94.5d0  0.0104d0
94.6d0  0.011d0
94.7d0  0.0115d0
94.8d0  0.012d0
94.9d0  0.0126d0
95.0d0  0.0133d0
95.1d0  0.0139d0
95.2d0  0.0144d0
95.3d0  0.0149d0
95.4d0  0.0153d0
95.5d0  0.0156d0
95.6d0  0.0159d0
95.7d0  0.0161d0
95.8d0  0.0164d0
95.9d0  0.0164d0
96.0d0  0.0164d0
96.1d0  0.0164d0
96.2d0  0.0162d0
96.3d0  0.016d0
96.4d0  0.0157d0
96.5d0  0.0154d0
96.6d0  0.0148d0
96.7d0  0.0145d0
96.8d0  0.0143d0
96.9d0  0.0139d0
97.0d0  0.0135d0
97.1d0  0.0132d0
97.2d0  0.0128d0
97.3d0  0.0124d0
97.4d0  0.012d0
97.5d0  0.0117d0
97.6d0  0.0113d0
97.7d0  0.0109d0
97.8d0  0.0106d0
97.9d0  0.0102d0
98.0d0  0.01d0
98.1d0  0.0097d0
98.2d0  0.0095d0
98.3d0  0.0093d0
98.4d0  0.0092d0
98.5d0  0.009d0
98.6d0  0.009d0
98.7d0  0.0089d0
98.8d0  0.0089d0
98.9d0  0.0089d0
99.0d0  0.009d0
99.1d0  0.009d0
99.2d0  0.0091d0
99.4d0  0.0092d0
99.5d0  0.0093d0
99.6d0  0.0094d0
99.7d0  0.0094d0
99.8d0  0.0095d0
99.9d0  0.0096d0
100.0d0 0.0096d0
100.1d0 0.0097d0
100.2d0 0.0097d0
100.3d0 0.0097d0
100.4d0 0.0097d0
100.5d0 0.0097d0
100.6d0 0.0098d0
100.7d0 0.0098d0
100.8d0 0.0098d0
100.9d0 0.0098d0
101.0d0 0.0098d0
101.1d0 0.0097d0
101.2d0 0.0097d0
101.3d0 0.0097d0
101.4d0 0.0097d0
101.5d0 0.0096d0
101.6d0 0.0096d0
101.7d0 0.0095d0
101.8d0 0.0095d0
101.9d0 0.0095d0
102.0d0 0.0094d0
102.1d0 0.0093d0
102.2d0 0.0092d0
102.3d0 0.0091d0
102.4d0 0.009d0
102.5d0 0.0089d0
102.6d0 0.0088d0
102.7d0 0.0087d0
102.8d0 0.0086d0
102.9d0 0.0084d0
103.0d0 0.0083d0
103.1d0 0.0082d0
103.2d0 0.0081d0
103.3d0 0.008d0
103.4d0 0.0079d0
103.5d0 0.0079d0
103.6d0 0.0078d0
103.7d0 0.0077d0
103.8d0 0.0077d0
103.9d0 0.0077d0
104.0d0 0.0076d0
104.1d0 0.0076d0
104.2d0 0.0076d0
104.3d0 0.0076d0
104.4d0 0.0076d0
104.5d0 0.0076d0
104.6d0 0.0076d0
104.7d0 0.0076d0
104.8d0 0.0076d0
104.9d0 0.0075d0
105.0d0 0.0075d0
105.1d0 0.0075d0
105.2d0 0.0075d0
105.3d0 0.0075d0
105.4d0 0.0075d0
105.5d0 0.0074d0
105.6d0 0.0074d0
105.7d0 0.0073d0
105.8d0 0.0073d0
105.9d0 0.0072d0
106.0d0 0.0072d0
106.1d0 0.0071d0
106.2d0 0.0071d0
106.3d0 0.007d0
106.4d0 0.007d0
106.5d0 0.0069d0
106.6d0 0.0068d0
106.7d0 0.0067d0
106.8d0 0.0066d0
106.9d0 0.0065d0
107.0d0 0.0065d0
107.1d0 0.0063d0
107.2d0 0.0062d0
107.3d0 0.0061d0
107.4d0 0.006d0
107.5d0 0.0059d0
107.6d0 0.0058d0
107.7d0 0.0057d0
107.8d0 0.0056d0
107.9d0 0.0055d0
108.0d0 0.0054d0
108.1d0 0.0052d0
108.2d0 0.0052d0
108.3d0 0.0051d0
108.4d0 0.005d0
108.5d0 0.005d0
108.6d0 0.0049d0
108.7d0 0.0049d0
108.8d0 0.0049d0
108.9d0 0.0049d0
109.0d0 0.0049d0
109.1d0 0.0049d0
109.2d0 0.0049d0
109.3d0 0.005d0
109.4d0 0.0051d0
109.5d0 0.0051d0
109.6d0 0.0052d0
109.7d0 0.0053d0
109.8d0 0.0054d0
109.9d0 0.0056d0
110.0d0 0.0057d0
