  0.20000000E+03  0.10000000E+00  0.33633000E+03
  0.20000000E+03  0.20000000E+00  0.84082600E+02
  0.20000000E+03  0.30000000E+00  0.37370100E+02
  0.20000000E+03  0.40000000E+00  0.21020800E+02
  0.20000000E+03  0.50000000E+00  0.13453400E+02
  0.20000000E+03  0.60000000E+00  0.93428400E+01
  0.20000000E+03  0.70000000E+00  0.68643300E+01
  0.20000000E+03  0.80000000E+00  0.52557500E+01
  0.20000000E+03  0.90000000E+00  0.41529700E+01
  0.20000000E+03  0.10000000E+01  0.33642200E+01
  0.20000000E+03  0.20000000E+01  0.84447400E+00
  0.20000000E+03  0.30000000E+01  0.38190800E+00
  0.20000000E+03  0.40000000E+01  0.22479800E+00
  0.20000000E+03  0.50000000E+01  0.15733200E+00
  0.20000000E+03  0.60000000E+01  0.12625700E+00
  0.20000000E+03  0.70000000E+01  0.11332700E+00
  0.20000000E+03  0.80000000E+01  0.11091900E+00
  0.20000000E+03  0.90000000E+01  0.11539400E+00
  0.20000000E+03  0.10000000E+02  0.12483200E+00
  0.20000000E+03  0.11000000E+02  0.13814700E+00
  0.20000000E+03  0.12000000E+02  0.15468300E+00
  0.20000000E+03  0.13000000E+02  0.17402800E+00
  0.20000000E+03  0.14000000E+02  0.19591000E+00
  0.20000000E+03  0.15000000E+02  0.22014700E+00
  0.20000000E+03  0.16000000E+02  0.24660800E+00
  0.20000000E+03  0.17000000E+02  0.27520400E+00
  0.20000000E+03  0.18000000E+02  0.30586700E+00
  0.20000000E+03  0.19000000E+02  0.33854600E+00
  0.20000000E+03  0.20000000E+02  0.37320600E+00
  0.20000000E+03  0.21000000E+02  0.40981600E+00
  0.20000000E+03  0.22000000E+02  0.44835400E+00
  0.20000000E+03  0.23000000E+02  0.48880300E+00
  0.20000000E+03  0.24000000E+02  0.53114700E+00
  0.20000000E+03  0.25000000E+02  0.57537700E+00
  0.20000000E+03  0.26000000E+02  0.62148300E+00
  0.20000000E+03  0.27000000E+02  0.66945700E+00
  0.20000000E+03  0.28000000E+02  0.71929300E+00
  0.20000000E+03  0.29000000E+02  0.77098600E+00
  0.20000000E+03  0.30000000E+02  0.82453100E+00
