300d0  90d0   0.9027d-3
300d0  100d0  0.66965d-3
300d0  150d0  0.43641d-3
350d0  90d0   0.80172d-3
350d0  100d0  0.34282d-3
350d0  150d0  0.39478d-3
400d0  90d0   0.51925d-3
400d0  100d0  0.46385d-3
400d0  150d0  0.18968d-3
400d0  200d0  0.36986d-3
400d0  250d0  0.45445d-3
450d0  90d0   0.30904d-3
450d0  100d0  0.21847d-3
450d0  150d0  0.34219d-3
450d0  200d0  0.2129d-3
450d0  250d0  0.15411d-3
500d0  90d0   0.17639d-3
500d0  100d0  0.26265d-3
500d0  150d0  0.12612d-3
500d0  200d0  0.30315d-3
500d0  250d0  0.34753d-3
500d0  300d0  0.38556d-3
550d0  90d0   0.16257d-3
550d0  100d0  0.17741d-3
550d0  150d0  0.33564d-3
550d0  200d0  0.16644d-3
550d0  250d0  0.23918d-3
550d0  300d0  0.51407d-3
600d0  90d0   0.15377d-3
600d0  100d0  0.26094d-3
600d0  150d0  0.21085d-3
600d0  200d0  0.12964d-3
600d0  250d0  0.088905d-3
600d0  300d0  0.3524d-3
600d0  400d0  0.27351d-3
650d0  90d0   0.63878d-3
650d0  100d0  0.53301d-3
650d0  150d0  0.13536d-3
650d0  200d0  0.20054d-3
650d0  250d0  0.17872d-3
650d0  300d0  0.11128d-3
650d0  400d0  0.34045d-3
700d0  90d0   0.24672d-3
700d0  100d0  0.22919d-3
700d0  150d0  0.16597d-3
700d0  200d0  0.095602d-3
700d0  250d0  0.17918d-3
700d0  300d0  0.11986d-3
700d0  400d0  0.19406d-3
700d0  500d0  0.57755d-3
750d0  90d0   0.10104d-3
750d0  100d0  0.09584d-3
750d0  150d0  0.1424d-3
750d0  200d0  0.080499d-3
750d0  250d0  0.21131d-3
750d0  300d0  0.075287d-3
750d0  400d0  0.087494d-3
750d0  500d0  0.25267d-3
800d0  90d0   0.20014d-3
800d0  100d0  0.17601d-3
800d0  150d0  0.10941d-3
800d0  200d0  0.096397d-3
800d0  250d0  0.058226d-3
800d0  300d0  0.077446d-3
800d0  400d0  0.072589d-3
800d0  500d0  0.14792d-3
800d0  600d0  0.17496d-3
850d0  90d0   0.37951d-3
850d0  100d0  0.33707d-3
850d0  150d0  0.12839d-3
850d0  200d0  0.074673d-3
850d0  250d0  0.087016d-3
850d0  300d0  0.044543d-3
850d0  400d0  0.078827d-3
850d0  500d0  0.086194d-3
850d0  600d0  0.24069d-3
900d0  90d0   0.23349d-3
900d0  100d0  0.20392d-3
900d0  150d0  0.12358d-3
900d0  200d0  0.071479d-3
900d0  250d0  0.064645d-3
900d0  300d0  0.047125d-3
900d0  400d0  0.10693d-3
900d0  500d0  0.047285d-3
900d0  600d0  0.1329d-3
900d0  700d0  0.15014d-3
950d0  90d0   0.16628d-3
950d0  100d0  0.13455d-3
950d0  150d0  0.085477d-3
950d0  200d0  0.12205d-3
950d0  250d0  0.11005d-3
950d0  300d0  0.045347d-3
950d0  400d0  0.091291d-3
950d0  500d0  0.053573d-3
950d0  600d0  0.051612d-3
950d0  700d0  0.12387d-3
1000d0 90d0   0.18302d-3
1000d0 100d0  0.16613d-3
1000d0 150d0  0.12677d-3
1000d0 200d0  0.079908d-3
1000d0 250d0  0.081881d-3
1000d0 300d0  0.10726d-3
1000d0 400d0  0.035531d-3
1000d0 500d0  0.058421d-3
1000d0 600d0  0.039285d-3
1000d0 700d0  0.092228d-3
1000d0 800d0  0.12104d-3
